INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
194085122,02/28/2019,02:18:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,999211.437500000000000,229699.484375000000000,40.797143615000039,-73.945964991999972,POINT (-73.94596499199997 40.79714361500004),12426,7,4,35,14
194226976,03/02/2019,21:30:00,BROOKLYN,75,0,,false,18-24,M,BLACK,<18,M,WHITE HISPANIC,1017036.000000000000000,183890.000000000000000,40.671359820000077,-73.881811022999955,POINT (-73.88181102299995 40.67135982000008),17215,45,2,25,47
194226977,03/02/2019,04:20:00,QUEENS,113,0,,false,,,,18-24,M,BLACK,1041582.000000000000000,183607.000000000000000,40.67045812200007,-73.793327685999941,POINT (-73.79332768599994 40.67045812200007),24671,41,3,46,71
194269158,03/04/2019,22:22:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,false,<18,M,BLACK,<18,M,BLACK,1004899.000000000000000,187202.187500000000000,40.680487654000046,-73.925553582999953,POINT (-73.92555358299995 40.680487654000046),13516,69,2,17,52
194232503,03/04/2019,00:40:00,BRONX,45,0,,false,25-44,M,BLACK,25-44,F,BLACK,1033217.062500000000000,254903.593750000000000,40.866198519000079,-73.822962587999939,POINT (-73.82296258799994 40.86619851900008),12344,43,5,2,28
194324355,03/05/2019,22:30:00,QUEENS,105,0,,true,18-24,M,BLACK,25-44,M,BLACK,1049440.000000000000000,181649.000000000000000,40.665029492000031,-73.765019768999935,POINT (-73.76501976899993 40.66502949200003),24669,63,3,47,63
194324356,03/05/2019,23:24:00,BROOKLYN,79,0,,true,,,,25-44,M,WHITE HISPANIC,996756.937500000000000,190061.953125000000000,40.68835230600007,-73.954903642999966,POINT (-73.95490364299997 40.68835230600007),17618,69,2,49,51
194324354,03/05/2019,20:04:00,BRONX,44,0,GROCERY/BODEGA,false,,,,25-44,M,BLACK HISPANIC,1008093.000000000000000,245355.234375000000000,40.840094732000068,-73.913831710999943,POINT (-73.91383171099994 40.84009473200007),10930,50,5,29,27
194378288,03/06/2019,20:29:00,BROOKLYN,62,0,MULTI DWELL - APT BUILD,false,,,,25-44,M,WHITE,986543.250000000000000,157611.984375000000000,40.599292655000056,-73.991743415999963,POINT (-73.99174341599996 40.599292655000056),17616,1,2,45,37
194525841,03/09/2019,15:40:00,QUEENS,109,0,,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1032664.937500000000000,219163.359375000000000,40.768104840000035,-73.825216596999951,POINT (-73.82521659699995 40.768104840000035),13832,22,3,3,67
194527594,03/09/2019,04:00:00,QUEENS,106,0,BAR/NIGHT CLUB,false,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1025541.875000000000000,187003.625000000000000,40.679870423000068,-73.851129127999968,POINT (-73.85112912799997 40.67987042300007),24013,62,3,41,64
194527595,03/09/2019,09:20:00,BRONX,42,0,,false,,,,18-24,M,BLACK,1010696.562500000000000,241162.406250000000000,40.828579220000051,-73.904438847999984,POINT (-73.90443884799998 40.82857922000005),10934,34,5,42,25
194525841,03/09/2019,15:40:00,QUEENS,109,0,,false,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1032664.937500000000000,219163.359375000000000,40.768104840000035,-73.825216596999951,POINT (-73.82521659699995 40.768104840000035),13832,22,3,3,67
194525844,03/09/2019,01:10:00,BRONX,41,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,25-44,M,BLACK HISPANIC,1012779.937500000000000,236448.781250000000000,40.815635175000068,-73.89693078099998,POINT (-73.89693078099998 40.81563517500007),10933,8,5,35,24
194525846,03/09/2019,02:41:00,MANHATTAN,25,,,false,UNKNOWN,M,BLACK,25-44,M,BLACK,1000472.375000000000000,230832.546875000000000,40.800251339000056,-73.941408108999951,POINT (-73.94140810899995 40.800251339000056),13093,7,4,36,16
194525843,03/10/2019,05:38:00,MANHATTAN,13,0,,false,25-44,M,WHITE HISPANIC,45-64,M,BLACK,990300.000000000000000,209478.000000000000000,40.741651488000059,-73.978168768999979,POINT (-73.97816876899998 40.74165148800006),12078,71,4,50,7
194525845,03/10/2019,22:30:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,18-24,M,BLACK,998314.250000000000000,192760.875000000000000,40.695757886000081,-73.949282616999938,POINT (-73.94928261699994 40.69575788600008),17213,69,2,49,51
194570530,03/11/2019,21:05:00,BROOKLYN,81,0,,false,,,,45-64,M,BLACK,1006104.062500000000000,187791.812500000000000,40.682103147000078,-73.921206942999959,POINT (-73.92120694299996 40.682103147000085),13516,69,2,17,52
194570529,03/11/2019,16:30:00,BROOKLYN,81,0,,false,<18,M,UNKNOWN,25-44,M,BLACK,1001181.000000000000000,189778.000000000000000,40.687565563000078,-73.938951975999942,POINT (-73.93895197599994 40.68756556300008),18181,69,2,49,52
194570529,03/11/2019,16:30:00,BROOKLYN,81,0,,false,18-24,M,BLACK,25-44,M,BLACK,1001181.000000000000000,189778.000000000000000,40.687565563000078,-73.938951975999942,POINT (-73.93895197599994 40.68756556300008),18181,69,2,49,52
194626069,03/12/2019,08:21:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,false,,,,45-64,F,BLACK,1006025.562500000000000,185468.890625000000000,40.675727447000043,-73.921497478999981,POINT (-73.92149747899998 40.67572744700004),13516,55,2,17,46
194626071,03/12/2019,23:34:00,BROOKLYN,77,0,,false,,,,18-24,M,BLACK,1002251.375000000000000,183677.140625000000000,40.670817975000034,-73.935108734999972,POINT (-73.93510873499997 40.670817975000034),17615,16,2,48,49
194626068,03/12/2019,01:00:00,BROOKLYN,73,0,,false,25-44,M,BLACK,25-44,M,BLACK,1009652.937500000000000,183399.421875000000000,40.670037556000068,-73.908428089999973,POINT (-73.90842808999997 40.67003755600007),17614,55,2,17,46
194626070,03/12/2019,22:20:00,BROOKLYN,75,0,,false,,,,18-24,M,BLACK,1019191.250000000000000,182198.875000000000000,40.666709820000051,-73.874050326999964,POINT (-73.87405032699998 40.66670982000005),17215,45,2,25,47
